show_id,type,title,director,,country,date_added,Release year,rating,duration,genre,RatingCategory
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,,United States,01-09-2025,2021,PG-13,90 min,Documentaries,Teens
s2,TV Show,Blood & Water,Not Available,,South Africa,01-09-2024,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Adults
s3,TV Show,Ganglands,Julien Leclercq,,Not Available,01-09-2024,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Adults
s4,TV Show,Jailbirds New Orleans,Not Available,,Not Available,01-09-2024,2021,TV-MA,1 Season,"Docuseries, Reality TV",Adults
s5,TV Show,Kota Factory,Not Available,,India,01-09-2024,2021,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Adults
s6,TV Show,Midnight Mass,Mike Flanagan,,Not Available,01-09-2024,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",Adults
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",,Not Available,01-09-2024,2021,PG,91 min,Children & Family Movies,Teens
s8,Movie,Sankofa,Haile Gerima,,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",01-09-2024,2021,TV-MA,125 min,"Dramas, Independent Movies, International Movies",Adults
s9,TV Show,The Great British Baking Show,Andy Devonshire,,United Kingdom,01-09-2024,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",Teens
s10,Movie,The Starling,Theodore Melfi,,United States,01-09-2024,2021,PG-13,104 min,"Comedies, Dramas",Teens
s11,TV Show,"Vendetta: Truth, Lies and The Mafia",Not Available,,Not Available,01-09-2024,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Adults
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,,Not Available,01-09-2023,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Adults
s13,Movie,Je Suis Karl,Christian Schwochow,,"Germany, Czech Republic",01-09-2023,2021,TV-MA,127 min,"Dramas, International Movies",Adults
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,,Not Available,01-09-2022,2021,TV-PG,91 min,"Children & Family Movies, Comedies",Teens
s15,TV Show,Crime Stories: India Detectives,Not Available,,Not Available,01-09-2022,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Adults
s16,TV Show,Dear White People,Not Available,,United States,01-09-2022,2021,TV-MA,4 Seasons,"TV Comedies, TV Dramas",Adults
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,Not Available,01-09-2022,2021,TV-MA,67 min,"Documentaries, International Movies",Adults
s18,TV Show,Falsa identidad,Not Available,,Mexico,01-09-2022,2021,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Adults
s19,Movie,Intrusion,Adam Salky,,Not Available,01-09-2022,2021,TV-14,94 min,Thrillers,Teens
s20,TV Show,Jaguar,Not Available,,Not Available,01-09-2022,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",Adults
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,,Not Available,01-09-2022,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Teens
s22,TV Show,Resurrection: Ertugrul,Not Available,,Turkey,01-09-2022,2021,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",Teens
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,,Not Available,01-09-2021,2021,TV-PG,161 min,"Comedies, International Movies",Teens
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",,Not Available,01-09-2021,2021,TV-Y,61 min,Children & Family Movies,Kids
s25,Movie,Jeans,S. Shankar,,India,01-09-2021,2021,TV-14,166 min,"Comedies, International Movies, Romantic Movies",Teens
s26,TV Show,Love on the Spectrum,Not Available,,Australia,01-09-2021,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV",Teens
s27,Movie,Minsara Kanavu,Rajiv Menon,,Not Available,01-09-2021,2021,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",Teens
s28,Movie,Grown Ups,Dennis Dugan,,United States,01-09-2020,2021,PG-13,103 min,Comedies,Teens
s29,Movie,Dark Skies,Scott Stewart,,United States,01-09-2019,2021,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",Teens
s30,Movie,Paranoia,Robert Luketic,,"United States, India, France",01-09-2019,2021,PG-13,106 min,Thrillers,Teens
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",,Not Available,01-09-2017,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",Teens
